"tweet_text","tweet_datetime","latitude","longitude"
"Het was zo lang geleden dat ik bijna was vergeten hoe t voelde, helaas #koorts","januari 2014","52.18712","4.435273"
"koorts :s","januari 2014","52.06640","5.137541"
"Vandaag toch naar school maar heb nog koorts en misselijk mahn","januari 2014","51.80823","4.674074"
"lerares denkt ik heb koorts nu temperatuur opmeten","januari 2014","52.57596","6.623736"
"@AmstellandDB Tja, helaas. Dan moet men er rekening mee houden dat zo''n poll niet geheel zuiver de resultaten weergeeft #verkiezingskoorts","januari 2014","52.25352","4.761222"
"Wie heeft er zin om morgen naar de theatershow van so you think you can dance te gaan? Ik heb 2 kaartjes maar lig helaas met koorts in bed😥","januari 2014","52.18713","4.435066"
"Koorts 🎉","januari 2014","51.51317","3.884705"
"@dientje12 haha hb nog steeds beetje koorts mja","januari 2014","52.06640","5.137532"
"""@xMarisssss: Met koorts op bed pff"" beterschapp","januari 2014","51.88988","4.473313"
"Opa ligt weer aan de bloedtransfusie, hele hoge koorts enzo, &amp hij wilt nu ook iedereen nog heel even zien.. slecht teken #staystrong","januari 2014","52.02574","5.564779"
"GL en CDA #Voorschoten claimen succes oplaadpalen e-auto''s. #Verkiezingskoorts. Motie is 30 juni 2011 ingediend door GL, VVD, CDA en #PvdA.","januari 2014","52.12675","4.433556"
"Weer te veel gedaan, weer 38,7 graden koorts 😖😖","januari 2014","51.82278","4.251697"
"Gn, morgen niet meevoetballen door koorts😭😷","januari 2014","51.76988","4.948411"
"39 graden koorts 😬😬","januari 2014","52.20209","5.178142"
"@sanderhubens nee ik weet man ik kreeg de volgende dag koorts en bleef een week maar toen ging het weg bij mij","januari 2014","51.83226","4.368145"
"Kind met koorts + n babyfoon die niet helemaal goed werkt = slecht voor mama''s nachtrust #WakendSlapenTotMnWekkerGaat","januari 2014","52.09397","4.388629"
"pffff onze gozert ligt te hoesten?? oooi neee toch geen #kennelhoest of #verflucht???, nog steeds eten en geen koorts","januari 2014","51.89874","4.542400"
"Jup, Nogsteeds koorts 😖","januari 2014","51.82273","4.251980"
"Koorts is veel minder geworden maar ik mag nogsteeds niet meedoen😩","januari 2014","51.76976","4.948949"
"Pff koorts spierpijn helemaal niks waard","januari 2014","53.15441","6.370654"
"@ingeoldenburger koorts, buikpijn keelpijn nou ga zo maar een rijtje af","januari 2014","53.14371","6.496470"
"Wat een week van trap vallen, een vriend plots heel ziek, jongste flinke koorts. Wel klaar mee. Op naar vrolijkheid!","januari 2014","52.49181","4.783295"
"Geen tijd griep of koorts! Of wat dan ook! #Citrosan #Strepsils #VitamineC #HotColdrex #Leggo http://t.co/Of1oO4GlcX","januari 2014","52.04781","4.236352"
"Geen tijd voor griep of koorts of wat dan ook! #Citrosan #Strepsils #VitamineC #HotColdrex #Leggo http://t.co/WbXEOiciTJ","januari 2014","52.04777","4.236423"
"@WdeBruin83 nee idd! Is al een paar nachten zo. Heeft nu ook koorts @dsMirjam @HarcoPloegman @LeoMarkwat","januari 2014","52.96082","4.755322"
"Ik heb zowaar koorts. Da''s lang geleden.","januari 2014","52.44822","4.584789"
"Het Business Peloton spreekt in de Directors Lounge over de Utrechtse Gele Koorts http://t.co/F0XgyRouwl","januari 2014","52.07844","5.145839"
"Hmm, oma wordt daarnet gebeld dat het weer fout gaat met opa.. hij is flauw gevallen, weer heel hoge koorts &amp hartslag weer verkeerd ..","januari 2014","52.00082","4.396309"
"Weer koorts. Na 2 weken ben ik daar ook wel keer klaar mee. Alvast bedankt !","januari 2014","52.85414","6.212072"
"@sendiri61  Heb jij je koffertje al gepakt vrouwke? Morgen begint het dus nu al reiskoorts? Ik heb dat altijd, een dag er vóór. XXX","januari 2014","52.29449","4.849501"
"Kom ik nou nooit eens van die koorts af","januari 2014","51.82274","4.251670"
"Zometeen slapen, morgen gewoon school hoe hoog me koorts ook is","januari 2014","51.82270","4.251803"
"Koortsig","januari 2014","51.73353","4.959564"
"Geweldig, not! Wakker worden met een gigantische koorts. Heb het dagen kunnen onderdrukken maar moet er nu aan geloven. #ziek.","januari 2014","52.22609","4.495482"
"fuck dit wordt k ziek wakker met koorts en zonder stem ... ik wil naar school ...","januari 2014","51.87842","5.283181"
"“@gewoon_jobB: 40.2 graden koorts 😪” beterschap","januari 2014","51.48627","5.466498"
"@ja_bakker daarom moet je je voorbij Nijmegen ook tegen Gele Koorts laten inenten. Dichterbij de Sahel immers.","januari 2014","53.21653","6.579712"
"Buiten koorts nu ook het gevoel alsof ik onder de trein heb gelegen. Nog maar een naproxen er in en kijken hoe het morgen gaat. #ikwilwerken","januari 2014","52.22609","4.495510"
"@Joosttel Die kans loop je niet bij teveel homeopatische middelen Hooguit verergering omdat het imuunsysteem kennelijk gewekt wordt #koorts","januari 2014","52.29711","4.858418"
"Of gewoon een beetje koorts","januari 2014","52.62418","4.737141"
"Klotezooi, mich allang neet meer zo krank geveult, koppien, misselijk, koorts.. Waat geit nog komme? Haopelijk murge beater! :( #goodnight","januari 2014","51.19247","6.026497"
"Ook vandaag moet ik er nog aan geloven. Ziek in bed bijven. #koorts en #spierpijn overal. Morgen is het vast wel over. #influenza","januari 2014","52.22612","4.495524"
"Koorts: 39.5
Eten: lust is weg
Energie: wat is dat? ziek zijn is zoiets stoms. Stop ik met roken word ik ziek:s","januari 2014","52.13650","5.244291"
"Dus, koortsige baby maar draagt wel dikke kleding #foutje #dokterdeen","januari 2014","53.10061","6.079197"
"En dan is alles wat je hooort.. #ajafey #klassiekerkoorts","januari 2014","51.82449","5.131237"
"Vroeger 2.5 jaar in burkina faso gewoond. Ik mis het soms. De temp. Nu heb ik die temp.&lt&gt 41 graden koorts:( woestijn in me lichaam.","januari 2014","52.13644","5.244280"
"Koorts kan er nogwel bij -.-","januari 2014","51.75248","5.517956"
"@DaveAfca020 pik heb je koorts","januari 2014","52.36587","4.613398"
"@davevdmeer @BenvanderStee @PeetVoskamp @LPFWestland Vervelend die verkiezingskoorts..... Morgen maar even langs de huisarts :-)","januari 2014","51.99881","4.205328"
"Midden in de nacht overgegeven... &amp me evenwicht verloren... Droge keel &amp hoofdpijn, kan niet eens zelf lopen... &amp koorts #ziek","januari 2014","52.02721","5.147101"
"Iemand nog tips voor dreumes 1,5 die niets binnen houdt+koorts? Wat is het beste qua drinken om te geven, thee?","januari 2014","52.66154","4.844313"
"Pfffff #klassiekerkoorts","januari 2014","51.55574","4.909709"
"Klassieker koorts","januari 2014","52.03063","5.630190"
"Pfff.... #klassiekerkoorts","januari 2014","52.08039","4.740715"
"Nog minder dan 3 uur.. tyfus wat een spanning. #KlassiekerKoorts #JODENGAANERAAN","januari 2014","52.08039","4.740705"
"Spanning... #KlassiekerKoorts","januari 2014","52.08039","4.740695"
"""@FR_HetLegioen: Dit soort wedstrijden zijn slecht voor het hart... #KlassiekerKoorts""","januari 2014","51.86232","5.767671"
"D-Day beat the scum #klassiekerkoorts #ajaFEY","januari 2014","51.85544","4.389065"
"Ik heb koorts.  #griepje","januari 2014","51.69999","5.284487"
"Ik wordt gek. #KlassiekerKoorts #ajaFEY come on#beatthescum","januari 2014","51.89908","4.702589"
"Godver de tyfus tering... wat een spanning.. #KlassiekerKoorts #JODENGAANERAAN","januari 2014","52.08039","4.740693"
"Na weken verlangen, is t bijna zover. Zolang naar uitgekeken, nu moet t gebeuren. Come On, Make Us Proud! #Feyenoord #KlassiekerKoorts","januari 2014","52.08043","4.740667"
"Slapen met koorts, kusjes voor jullie.","januari 2014","53.31571","6.904617"
"Kutzooi fijn hoor denk dat k koorts heb","januari 2014","51.98940","5.953541"
"Ravi kreeg iedere keer dat we wat ondernamen gisteren koorts. Dan maar niet naar de home Learners. Bijna een uur met ov durf ik niet aan.","januari 2014","52.49067","4.639139"
"Keelontsteking.. bah! Koorts, keelpijn, oorpijn en algeheel rotgevoel. Heel fijn.. not :(","januari 2014","52.36446","5.212182"
"Ik merk gifwijk dat ik vannacht tussen koorts-peuter en baby in lag. #moe","januari 2014","52.49067","4.639139"
"En dan lig je hier met 40 graden koorts een emmer vol kots en wc pot vol diaree","januari 2014","51.62738","5.553720"
"Leuk dat jullie er waren! ""@burokoorts: Brenno de Winter praat @degeldersekring bij over digitale gevaren. #hacken http://t.co/jGf1pMEUng”","januari 2014","52.04160","5.669120"
"Kleine man heeft hoge koorts en voelt zich niet happy. Poosje geleden dat ik mij kon melden bij #nachtouders waarschijnlijk #buikgriep","januari 2014","52.08680","5.617146"
"godver ik ben fucking koortsig ineens???","januari 2014","52.04700","5.074946"
"@Its_Amytjuh ja x heb koorts","januari 2014","51.91436","4.363890"
"Op de noordpool het ene kwartier en in het warme afrika de volgende #koorts","januari 2014","51.93807","5.920464"
"@kookadoshop thnx, ben van de week van migraine naar spierpijn naar koorts gegaan. Hopelijk is dit het eindstation","januari 2014","51.93791","5.920656"
"Ookal heb ik koorts ik MOET toch trainen, ''want je hebt morgen een wedstrijd blablabla''","januari 2014","52.15168","4.509153"
"Hoge koorts, heel erg hoofdpijn en alls doet pijn.. heeeel fijn dit 😭","januari 2014","53.10124","6.034777"
"Koorts #FFFFFFUUUUUU","januari 2014","52.78651","6.913655"
"""@esmemeester: 2 en een half uur bedoel ik ja typkoorts - @XanoukbakkerX"" hihi :)","januari 2014","53.13348","6.072515"
"Lkkr koorts lkkr overgeven lkkr","januari 2014","52.48416","6.116825"
"Weer een gezellig avondje vandaag! #schlagerkoorts 🎉","januari 2014","51.77533","5.953200"
"RT ""@xlauragerrits: ""@ninahoogstraten: Weer een gezellig avondje vandaag! #schlagerkoorts 🎉""""","januari 2014","51.78706","5.919571"
"@DylanHummel WAT GAAN WE ZINGEN? En Ben. Koorts.","januari 2014","51.41441","5.387073"
"Weer koorts &amp zo slapen moet er over 6 uurtjes weer uit 😩","januari 2014","52.15164","4.509253"
"@wiecksnaas Ja hoor. Koorts is weg iig.","januari 2014","51.41438","5.387060"
"#vitnec Krijg ernstige last van geel-zwarte koorts.","januari 2014","51.96484","5.965981"
"Me koorts is nu al 38.3 ..","januari 2014","53.18409","6.689136"
"Vandaag niet HRDLPN. #griepje @Loopkoorts @loopmaatjes","januari 2014","52.49586","5.472368"
"Koorts.","januari 2014","51.93481","5.601149"
"Sinds vrijdag nacht hoge koorts. Klaar s klaarblergh","januari 2014","51.77017","5.548339"
"Koortserig &amp verkouden, lekker mn bedje in x","januari 2014","52.12063","5.279875"
"Koorts...","januari 2014","52.01812","4.302657"
"""@KaoutarMS: @NoeNoe0182 aahw ghair in sha allah, wat heb je?""keelpijn ,koorts , misselijk","januari 2014","52.00880","4.741862"
"""@KaoutarMS: @NoeNoe0182 keelpijn &gt&gt daar is honing goed voor, koorts &gt&gt veel water drinken, misselijk &gt&gt daar helpt cola tegen""Cola?","januari 2014","52.00880","4.741862"
"K wil zo graag naar school morgen maar als k koorts heb gaat dat niet &gt_&lt","januari 2014","52.01810","4.302696"
"@iTroy_pls dit s al de 3e x dat ik wakkerword in n uur, en begin ook nog koorts te krijgen ofzo ..","januari 2014","51.74804","5.513498"
"Ziek misselijk hoofdpijn en 39 graden koorts weer lekker verderslapen","januari 2014","52.13822","5.018648"
"ziek 😔 #buikpijn #koorts #hoofdpijn","januari 2014","51.94707","4.551101"
"Fijn 38.3 gaden koorts wedden dat ik morgen gwn nasr school mket","januari 2014","52.85550","6.309109"
"Kzeg mam mag ik thuis blijven morgen zei zegt ja je bent zo ziek he koorts alles kzeg ja! Zei zegt na morgen SO ga maar lekker naar school","januari 2014","52.04141","4.252391"
"@ivflies ik deed het wel, ook zonder koorts!","januari 2014","51.85525","4.377524"
"volgens mij heb ik koorts..","januari 2014","52.24264","6.228139"
"Maar starten met het bellen van de huisarts. Kijken of ik een kuurtje krijg voor mijn bijholteontsteking. Nog steeds #koorts en een #plofkop","januari 2014","52.22608","4.495483"
"geen @bsdebakelgeert  voor joey.zieke zoon op de bank.hoesten proesten en koorts.wordt vandaag veel liefde dampo en warmte onder de deken.","januari 2014","51.65041","5.935148"
"Ik voel me zo ziek door gister, chagrijnig en koorts, maar weer slapen. 👋","januari 2014","51.77266","5.529051"
"Ik heb koorts lip hoe dan?","januari 2014","51.80822","4.632682"
"Werk afbellen.  Gaat m anders niet worden vanavond met koorts..","januari 2014","51.69603","5.335090"
"Ja hoor! Een bijholteontsteking. Complicatie van de griep. Doorgaan met pijnstillers en koortsremmers. Vrijdag terug bij geen verbetering.","januari 2014","52.22608","4.495491"
"Koorts, keelpijn en misselijkheid. Heerluk.","januari 2014","53.23031","6.572920"
"Op naar Schinvelderhoeve,nascholing kinderen met #koorts voor de huisartsen (waaronder @dupoire) en apothekers van omgeving Brunssum geven!","januari 2014","50.94992","5.969731"
"Hele warme voetjes tegen me aan #koortsbaby","januari 2014","53.21653","6.580017"
"@kfcnederland heel erge koorts hebben en het eerste wat je doet zodra je koorts daalt is KFC laten halen !!!!","januari 2014","51.90431","4.335640"
"Bij FTO kinderen met koorts interessant dat alle #apothekers tot nu toe bij foutieve dosering #amoxicilline een te lage dosering constateren","januari 2014","50.96958","5.759295"
".@Irma_Koopman @AafkeBrons Koopkracht stijgt paralel met verkiezingskoorts!
Houdt echter bvb geen rekening met gemeentelijke lasten!","januari 2014","52.50662","5.471531"
"Al de hele middag op bedd 😭 #ziek #koorts #kutleven","januari 2014","51.55912","5.104169"
"Kut koorts bah","januari 2014","53.18409","6.689129"
"go koorts, go.","januari 2014","51.68987","5.295866"
"Nog steeds 39 graden koorts😔","januari 2014","51.97712","4.247528"
"Na drie dagen van hoge koorts (40, 39, 41) nu een lichte verhoging (38) bij onze lieve kleuter. Ze kletst weer en maakt grapjes. Fijn!!","januari 2014","52.37280","5.769774"
"@mvossebelt ga er maar flink van genieten! Zorg dat de koortsblaren zonneblaren of surfblaren worden! #enjoy #jaloers #wilookweldezonin","januari 2014","52.67651","4.702912"
"Pff in 3 uur al 2 keer wakker geworden van de keelpijn en koorts, fijn dit ziek zijn","januari 2014","52.19269","5.954548"
"Het tegenovergestelde van koorts? Heb heel laag temperatuur? :0","januari 2014","52.20006","5.421810"
"Pff heel ziek. Hoge koorts dus alles wat ik kan doen is in bed liggen","januari 2014","52.28354","6.102947"
"@WilmadeJoode koorts ?","januari 2014","52.45775","4.808210"
"Hahaha bruno kreeg koorts sluiting","januari 2014","51.99594","5.885062"
"Lig je dan met koorts op bed..","februari 2014","51.91487","4.346289"
"Met koorts op bed.. even slapen en daarna nog werken..","februari 2014","53.11262","6.094300"
"Nu alweer wakker. Kut koorts","februari 2014","52.35004","5.629461"
"Wakker , pff slecht geslapen .. Koorts is gezakt hopelijk voel ik me vandaag beter 👍","februari 2014","53.17593","6.969574"
"Stijgende olympische koorts: @nocnsf TeamNL app komt de AppStore top 10 binnen! http://t.co/pRDQxD2oAB","februari 2014","52.04903","5.267384"
"Stijgende olympische koorts: de @nocnsf #TeamNLapp komt de AppStore top 10 binnen. #GoTeamNL http://t.co/xeHuiw83HV","februari 2014","52.04901","5.267367"
"Zonder Gianni, die ligt met 39,5 koorts op de bank (@ Stadion Galgenwaard - @fcutrecht for UTR vs AJAX w/ 36 others) http://t.co/BILmuLW9b0","februari 2014","52.07860","5.145614"
"Met koorts in bed😔","februari 2014","50.86801","5.732057"
"Vastelaovend! De koorts van rood-geel-groen begint op te spelen","februari 2014","50.85350","5.721143"
"@henripost Nu ben ik,wakker, maar of dat na middernacht nog zo is, waag ik te betwijfelen in mijn koortsige toestand.","februari 2014","52.51220","5.717542"
"Koorts again 👎","februari 2014","52.15156","4.509411"
"Gvd koorts kutzooi zomaar ineens","februari 2014","53.11399","6.103090"
"“@iiSean__: 🌈 krijg koorts 🌈” heb ik al bby","februari 2014","53.20187","5.813826"
"38,9 graden koorts. Heb besloten een kachel te zijn ... hele dag beetje aan de muur hangen en warm zijn. Perfect toch?","februari 2014","53.06485","5.523364"
"Nog steeds koorts. Hier alleen al zou je ziek van worden. Ben het nu wel zat.","februari 2014","52.22611","4.495552"
"Vond het voor het eerst toch echt koud buiten ondanks dat ik nog steeds koorts heb. #vrieskou","februari 2014","52.22607","4.495550"
"@YvetteStamx_ verkouden, hoofdpijn, misselijk, koorts enzo 😔","februari 2014","52.49082","4.591298"
"@faatje030 en gefeliciteerd met je Peetkind! Ik had hele weekend tegen 40 graden koorts, kom echt bed niet uit.","februari 2014","52.09895","5.009192"
"Wat shit. Ik lig ziek in bed. Wat koorts, hoofdpijn, koude rillingen etc. Ze zeggen dat het heerst. Ik hoop toch niet te lang.","februari 2014","51.63511","5.342799"
"Vier repetities met koorts gedirigeerd, ik sloeg steeds verhitter. Nu richting wollen deken. #snif","februari 2014","52.40833","4.898990"
"Afijn...en dan ga je naar huis, en dan stap je koortsig in de verkeerde trein...#fijn","februari 2014","52.36864","4.932847"
"Elke week op vrije dag koorts &amp opgezette keel. Zou dit boodschap zijn van de Pfeiffer-kaboutertjes dat ze nog een tijdje willen blijven?","februari 2014","52.07289","4.295169"
"Snipsnot verkouden en koortsig. Hoop dat het morgen over is!","februari 2014","51.88792","5.916578"
"#bnr: slechts 28 Sotsji campagnes drie dagen voor de start. WK inschatting 10 maal zo veel.. #noggeenkoorts","februari 2014","51.54950","5.684258"
"Koorts -.- nu slapen","februari 2014","52.67491","4.836823"
"@RamonaKooistra  .. Koorts .. verkouden ... Snotneuzen .. Niet ernstig , wel vervelend","februari 2014","53.44809","5.695334"
"Griep en koorts!! Slapen slapen zzz (@ Ziekenboeg) http://t.co/zjLXOrMay7","februari 2014","52.39135","4.875831"
"Intercitykijken: ik krijg bijna koortsdromen van een vliegenscherm en verbaas me over geelblauwe bollenveldenfoto terwijl t buiten schemert.","februari 2014","52.30982","5.042692"
"Yes! Koorts is eindelijk aan het zakken.  Morgen hoop ik toch wel eens koortsvrij te zijn. #werdeenkeertjetijd","februari 2014","52.22608","4.495548"
"Ik wil geen koorts meer hebben😔","februari 2014","53.21422","5.809957"
"Straks weer lekker optijd slapen, morgen nogsteeds niet naar school, kut koorts","februari 2014","52.49108","4.591264"
"Update: gelukkig koortsvrij. Het herstel kan beginnen. Voel me nog zwakjes. Lichte hoofdpijn. Vooral spierpijn. Paar dagen uitzieken.","februari 2014","51.63507","5.342737"
"Ik ben zo heet nu eh #koorts","februari 2014","53.21419","5.810004"
"In geen tijden zo ziek geweest..zelfs te beroerd om ziek-tv zoals   #Dr.Phil te kijken #koorts #griep?","februari 2014","51.44559","5.403524"
"Ik heb volges my echt koorts 💉","februari 2014","51.94631","5.886156"
"“@Mxnoo: ""@Fabienneeee__: Ik heb volges my echt koorts 💉"" pff ookal haha” iedereen is ziek volgens my haha","februari 2014","51.94636","5.886278"
"“@semjg: “@Fabienneeee__: Ik heb volges my echt koorts 💉” pfff ik ook 😪😪” aaah beterschapbeauty💋💕","februari 2014","51.94638","5.886301"
"Oef, Kyano geveld. #koorts #ziek Kijken hoe we dat gaan oplossen... Geen kinderopvang voor hem vandaag.","februari 2014","52.95313","5.956457"
"@Peter_De_Panda Jaa dat zie ik! Beterschap dan maar he! Met je koorts","februari 2014","52.79180","5.839927"
"@Zoemaryx koorts keelpijn hoofdpijn snotneus heel ''t riedeltje. I feel terrible 😩","februari 2014","52.07988","5.115719"
"@pvdw1953 dank Paul. Zelfs met koorts nog mooi!)","februari 2014","52.37419","4.878541"
"@RommelBrug kon me i.d.d. niet aan de indruk onttrekken dat wethouder @berthoman wat last had van (verkiezings)koorts","februari 2014","52.04334","5.282002"
"#koorts #37,9graad een beetje uitgeteld op de bank met #shila http://t.co/UColsxEKqx","februari 2014","52.39288","5.305305"
"Oke gelukkig geen koorts of verhoging","februari 2014","52.29717","6.799537"
"Ziek koorts morgen geen school 😖😖😖","februari 2014","51.61222","4.793194"
"Plan #Beresteijn sneuvelt nu in de raad door verkiezingskoorts, een volle publieke tribune en een weinig empatische reactie van het college","februari 2014","52.12704","4.448745"
"Nog steeds koorts dus morgen nog een dag verplicht thuis blijven -____-","februari 2014","52.97434","6.474372"
"Gelukkig geen koorts meer maar nog wel pijn aan me keell:(","februari 2014","52.20877","5.162290"
"@Estherv75 nu kunnen vlekjes door koorts zijn dus ik bel straks eventjes huisarts..","februari 2014","52.28071","4.624431"
"Goedemorgen, is het toch door gezet.snotteren, keelpijn, koorts, bolende en tranende ogen, maarrrr gelukkig nu en niet volgende week","februari 2014","52.28158","5.950902"
"Zijn er meer mensen met keelpijn, hoofdpijn, spierpijn en koorts? Ben benieuwd hoe het zal gaan met werken vandaag.","februari 2014","52.05644","5.401389"
"Komen net bij huisarts vandaan...afspraak als rond 12 u / 13 u koorts weer zo hoog is dan belt ie met kinderarts...","februari 2014","52.28070","4.624485"
"@Gerdagl koortsvrij!  Langzaam beter gelukkig!","februari 2014","52.22606","4.495503"
"@blackstarzzzz koorts","februari 2014","51.58628","4.652295"
"Spelen geopend, #Sochi koorts officieel aanwezig!","februari 2014","52.08805","5.119696"
"Pffff 39 koorts voel me echt niet lekker","februari 2014","51.94007","4.372311"
"Man, ik ga naar bed.. Heb nu al medaillekoorts #truste","februari 2014","52.33157","4.957017"
"Pfff, buikpijn &amp 39 graden koorts.. Vandaag dus thuisblijven :(","februari 2014","52.65191","6.209965"
"De verkiezingskoorts dringr zich op. http://t.co/E5bpZqfCEb","februari 2014","52.13516","5.430833"
"@nickensimon Dat optreden bij 538 werkt echt positief als je ziek thuis zit met koorts en keelpijn :-).","februari 2014","52.03430","5.541118"
"@DesireeWigman goedemorgen Desiree, hij heeft nog steeds koorts.....nu zit ie rond de 39.0 c maar meer praatjes....","februari 2014","52.28070","4.624466"
"Ziek. Koorts..","februari 2014","51.69606","5.558358"
"Heb koorts pfff","februari 2014","52.54904","4.675529"
"Gewekt door de kerkklokken. Als ik geen hoofdpijn, koorts en keelpijn had, kon dit een mooie dag worden #stomweekend #ziekzwakzielig","februari 2014","51.64396","4.871363"
"Toch nog even PR op de 7,5 km achteruitlopen neergezet #storm #loopkoorts #loverunning","februari 2014","51.77264","4.672537"
"@geazwart #BMR inenting is idd heel heftig #koorts en flink ziek, maar meestal pas 10 dagen erna.","februari 2014","50.87975","5.979443"
"Ik heb gewoon koorts nu, kut verstandskiezen donder snel op uit me smoel. #auwwww","februari 2014","52.11512","5.285232"
"Hoofdpijn, koorts en misselijk, joepie!","februari 2014","52.36822","5.254338"
"Hoe ik me voel?: nu doodgewoon 10x k*t. Koorts weg en dat is dan ook het enige. Slaap 15 u p/d en durf mn nek en schouders niet te bewegen.","februari 2014","52.22606","4.495569"
"Begin weer koorts te krijgen","februari 2014","51.58377","4.763116"
"Ik ben nog nooit zo ziek geweest ben misselijk, hoofdpijn, buikpijn, verkouden, keelpijn, 39 graden koorts en heb t heeeel koud #fml","februari 2014","52.54898","4.675554"
"Ach jee, mijn popje heeft koorts! Ligt in een bloedheet bed te miepen dat ze het koud heeft! #dasniegoenie","februari 2014","52.69476","6.220394"
"Nog geen 1x lekker uitgeslapen in mn weekend.. #ziek #verkouden #koorts 😥","februari 2014","51.82616","5.175992"
"Koorts en misselijk.. Here we go again.","februari 2014","52.57515","6.506365"
"F*ckin koorts lip gekregen","februari 2014","53.31378","6.871035"
"Zo. Voor het eerst sinds m''n operatie weer ziek. Klote koorts","februari 2014","52.06726","5.137237"
"Koortsachtig overleg over de #jeugdwet vanochtend. Morgen behandeling #EK Er moet nog (heel) veel gebeuren.","februari 2014","52.07046","5.266190"
"""@NOSschaatsen: Over een uur komen @muldermichel, @mulderronald, @jansmeekens en @stefangroothuis in actie op de 500m.""☆ミ medaillekoorts☆彡","februari 2014","51.73952","4.336046"
"Ook nog koorts erbij ♡♥♡♥","februari 2014","51.41932","5.385994"
"@LucaBade  ik kan de schaatsverleiding inderdaad niet weerstaan. #kampioenenkoorts","februari 2014","53.20980","5.779364"
"Hello koorts!","februari 2014","52.49441","4.953103"
"Godverdomme nou heb ik ook nog eens koorts😤😭","februari 2014","51.87280","4.582099"
"Koorts pff voel me echt niet goed..","februari 2014","51.94284","5.898759"
"Nu met koorts thuiss","februari 2014","51.83551","5.887335"
"@Zoutdropje ze is alweer beter geloof ik. Lekker gegeten en veel geslapen. Had ook geen koorts. Komt goed","februari 2014","51.50916","3.616535"
"Mezelf weer lekker in slaap rillen. Ik hou van m''n griepje !! #beetjekoorts","februari 2014","52.35496","4.878554"
"Weer een lovely koortsattackje ❤️","februari 2014","52.35509","4.878457"
"Deze griep en koorts mogen weg gaan","februari 2014","52.38185","4.731555"
"""@iiheartchrisjje: ""@SuselinLC: Me neefje is ziek :(""wat heeft hij?"" Koorts","februari 2014","51.91776","4.412951"
"Volgensmij heb ik koorts ):","februari 2014","52.89342","4.745662"
"Als ik morgen nog koorts heb ga ik de wereld overnemen fuck deze","februari 2014","52.48426","6.116928"
