"tweet_text","tweet_datetime","latitude","longitude","keyword"
"Met een verkouden hoofd en een plaid om de schouders op de bank. Luister met half oor via internet naar Raad in HS.","januari 2014","53.12844","6.417885","verkoud"
"lieverd griep dan verkouden.. bah ik haat dit","januari 2014","52.18142","5.410271","verkoud"
"pff niet kunnen slapen, zo verkouden en zo kapot veel hoofdpijn -,-''","januari 2014","52.57757","6.642405","verkoud"
"Facking verkouden, maar toch proberen te slapen.........Byee xoxo","januari 2014","53.00337","6.934975","verkoud"
"Slapen hoofdpijn, buikpijn , oorpijn en verkouden doei","januari 2014","51.59798","4.780863","verkoud"
"Harrejasses... Net wat beter begin ik weer ziek te worden :S oren half dicht en verkoudheid weer erger #wanneerstopthet","januari 2014","53.18510","6.134039","verkoud"
"@J_MeMusic I''m doing ok lil'' bro! Wel verkouden maar wel ok. Even weekend van de show. How are u??","januari 2014","52.35085","4.794531","verkoud"
"Gisteren 35 nieuwe Nederlanders verwelkomt. Daarna gelijk mijn bedje in. #verkouden #keelpijn #ziek @PvdACapelle","januari 2014","51.92870","4.589639","verkoud"
"vandaag thuisblijven #ugh #ziek #verkouden","januari 2014","51.61737","4.748403","verkoud"
"Keelpijn en verkouden (","januari 2014","51.61281","4.818194","verkoud"
"""@bramzero76: ""@gwn_jasper1: vandaag thuisblijven #ugh #ziek #verkouden"" ag man, kik nie zo zuur"" hou oewe kkrsmoel is","januari 2014","51.61736","4.748402","verkoud"
"verkouden 👎","januari 2014","52.69854","6.757100","verkoud"
"Aah ik word stront verkouden. Lymfe klieren super dik en het begon met een beginnende oorontsteking. Yeah. Fun.","januari 2014","52.82373","6.313742","verkoud"
"Godver verkouden","januari 2014","53.23487","6.255838","verkoud"
"maar naar huis gegaan, heel erg last van verkoudheid en hoofd-, keel- en oorpijn :( #feelingsick","januari 2014","52.30087","6.499911","verkoud"
"Aan t werk.... 😑😴😷  zwaar vermoeiend en nog steeds verkouden","januari 2014","53.21090","5.836979","verkoud"
"Weer even onder de wol gedoken #snotverkouden","januari 2014","51.81707","5.472862","verkoud"
"“@Hasan_Saritas: Gisteren 35 nieuwe Nederlanders verwelkomt. Daarna gelijk mijn bedje in. #verkouden #keelpijn #ziek @PvdACapelle”Beterschap","januari 2014","51.95248","4.579255","verkoud"
"Ik ben niet normaal verkouden meer","januari 2014","51.49914","4.283463","verkoud"
"Fk verkoude keelpijn alles pff.. gaat goeie kant op . 1 Voordeel GEEN SCHOOLL!!nadeel dond/vrij._stage","januari 2014","51.89347","5.437720","verkoud"
"Verkoudheid/hooikoorts. Word facking gek.","januari 2014","52.72163","5.731892","verkoud"
"Ja hoor, hij heeft me te pakken. #strontverkouden","januari 2014","51.97734","4.766185","verkoud"
"Zo verkouden :(((","januari 2014","52.11089","5.094561","verkoud"
"Elke winter wel een keer verkouden helaas. Zondag het warme weer opzoeken dus. 10dagen Calpe it is.","januari 2014","52.01021","4.579148","verkoud"
"Verkouden :(","januari 2014","52.05657","4.311807","verkoud"
"@fabvdakker #griepje #verkoudheid #rodehond","januari 2014","52.14127","5.381847","verkoud"
"Leuk zo''n koppijn. Mn kop kan fungeren als mattenklopper! Verkouden zijn altijd fijn.. NOT. Sleep tight♥","januari 2014","51.99650","4.201894","verkoud"
"Koffie en het bier weggeschonken bij @svDCS nu even een #whiskey voor de verkoudheid #dalwhinnie #maltscotchwhisky http://t.co/olJiQer1AA","januari 2014","51.93676","6.078561","verkoud"
"Verder Heel Veel Keelpijn Wordt
Volgens mij Verkouden Helemaal
Niet Lekker In Orde De Laatste Tijd
Bah!!!","januari 2014","52.25940","6.769483","verkoud"
"Keelpijn, kriebelhoest, verkouden. Ja jho, why not.","januari 2014","51.48057","5.484049","verkoud"
"Nog steeds verkouden :''(","januari 2014","52.88142","6.640205","verkoud"
"word ik weer verkouden..","januari 2014","53.33585","6.523306","verkoud"
"Aarhh ik hoest zowat de longen uit mijn lijf #snotverkouden #nogsteeds #agian","januari 2014","51.53937","4.459448","verkoud"
"Iedereen ziek ziek Hahah nou beterschap iedereen voor de mensen die ziek zijn of een beetje verkouden","januari 2014","52.53001","6.088464","verkoud"
"oke of ik ben verkouden of ik krijg een aanval .. en ik denk de 2e .. kut hoofdpijn ..","januari 2014","51.99376","4.509969","verkoud"
"Ben mn stem kwijt #verkouden #pratenklinktvoorgeenmeter #stemkwijt","januari 2014","51.61896","4.946349","verkoud"
"Alweer verkouden ...","januari 2014","50.95515","5.978836","verkoud"
"@dejongMiranda voel me niet zo heel erg stralend momenteel maar doe mijn best #verkoudheid","januari 2014","51.85457","5.607436","verkoud"
"Verkouden","januari 2014","51.86664","4.345190","verkoud"
"Nou geiser goedgekeurd dus weer mn bedje in.. Ken je je toch belabberd voelen als je verkouden bent en je stem weg is!!","januari 2014","52.44441","4.656372","verkoud"
"@Derde_helft ben even geveld. Zwaar verkouden even dagje binnen blijven.","januari 2014","53.00449","6.566170","verkoud"
"@BuufjeBuufje maar voor mij is 2 weken verkoudheid eigenlijk "" normaal"" duurt bij mij altijd zo lang","januari 2014","51.86509","5.584777","verkoud"
"Uitzicht vandaag.. Dagje in bed leren. Zwaar, zwaar verkouden :( http://t.co/1zpdjlvxnX","januari 2014","53.17406","5.838994","verkoud"
"Ben dat #verkouden zijn eigenlijk wel zat....","januari 2014","52.71883","6.472223","verkoud"
"Ik ben verkouden als een zeehond op rolschaatsen.","januari 2014","52.14634","4.415943","verkoud"
"Pff zo erg verkouden zometeen denk maar even lekker in bedje liggen !","januari 2014","51.62167","4.952721","verkoud"
"Echt fk verkouden ''-''","januari 2014","51.82056","4.419904","verkoud"
"Heb sterk het gevoel dat ik verkouden aan het worden ben.. voelde me al zo beroerd vandaag","januari 2014","53.05623","6.206184","verkoud"
"Verkoudennn =(","januari 2014","51.25194","5.723970","verkoud"
"Nog steeds erg verkouden... Nog 2 dagen stage en dan weer weekend! Zin in! Hopelijk dan wat beter","januari 2014","53.18142","6.177471","verkoud"
"Er heerst bijna een griep epidemie, ben ik even blij met m''n verkoudheid","januari 2014","53.19857","5.778705","verkoud"
"Ben zo erg verkouden mann.","januari 2014","52.00289","4.349968","verkoud"
"""@katja9913: Ben zo erg verkouden mann."" Beterschap !x","januari 2014","52.00926","4.351601","verkoud"
"Douchen en slapen #verkoudeenn","januari 2014","52.36395","6.159570","verkoud"
"Bah al de hele dag niet fit, traan ogen, hartstikke verkouden en ook nog eens last van de keel. Heel fijn","januari 2014","53.21876","6.094162","verkoud"
"@pietertreep, helaas zelf met verkoudheid thuis, maar mooi dat mijn CDA-fractiegenoten er kunnen zijn....","januari 2014","52.56057","5.924308","verkoud"
"Focking verkouden","januari 2014","52.99519","6.080895","verkoud"
"""@xonlyindo_: Zo slapen, morgen weer n dag stage. Te verkouden gewoon.."" KARMA IS A BITCH","januari 2014","51.63345","4.951384","verkoud"
"Zomenteen proberen te slapen , hopen dat t kan met die kut verkoudheid.","januari 2014","51.62173","4.952726","verkoud"
"Kan niet eens gvd op me zei slapen want anders loop all m''n snot eruit.. #verkouden","januari 2014","51.81241","4.665797","verkoud"
"Kapot hard verkouden","januari 2014","52.01800","5.056895","verkoud"
"Keelpijn, verkouden.. wat een pret","januari 2014","52.24686","4.434300","verkoud"
"@elsemiekje niks voor mij verkouden zijn! Ben t daarom ook nooit denk.. Maar als ik t heb... Pff gelijk in 5 voud hahaha","januari 2014","52.44451","4.656324","verkoud"
"Kut verkoudheid 😵","januari 2014","52.40769","6.906243","verkoud"
"Focking verkouden dat is zo KUT:((","januari 2014","52.25942","6.769297","verkoud"
"Traan.ogen door verkoudheid gvd :(","januari 2014","51.91456","6.588909","verkoud"
"Fuck, verkouden","januari 2014","52.80241","6.057280","verkoud"
"Tijd voor een mok Intense Mint thee #verkoudheid","januari 2014","51.85457","5.607423","verkoud"
"Volgens mij is onze kat ook verkouden. Zit aan mijn lege mok te snuiven waar Intense Mintthee in gezeten heeft.","januari 2014","51.86519","5.584254","verkoud"
"Brr ijskoud en snotverkouden.","januari 2014","52.15631","5.406130","verkoud"
"Koppijn misselijk en verkouden, kan niet beter!","januari 2014","52.31637","6.907454","verkoud"
"Sleepwell #weekend #benauwd #superverkouden #hoestzitvast","januari 2014","51.55513","4.516088","verkoud"
"Zo lekker gedouched:) half potje vicks onder me neus gesmeerd tegen de verkoudheid haha en nu lekker slapen!","januari 2014","51.86678","4.168672","verkoud"
"""@djdaymar: Hoelang mag een mens wettig gezien strontverkouden zijn??!! ✋🚫⁉️😷"" eeuwig?","januari 2014","52.67751","6.386339","verkoud"
"Gaat al lekker, verkouden aan het worden, keelpijn spierpijn!! Word dus ziek ofzoo !","januari 2014","52.31600","5.027968","verkoud"
"Kei erg verkouden","januari 2014","51.36710","6.178757","verkoud"
"Verkouden zijn is echt hell","januari 2014","52.07827","5.117134","verkoud"
"Jeeuh ik word weer verkouden ....","januari 2014","52.02675","4.714022","verkoud"
"Begin verkoude te worden..","januari 2014","52.50957","4.677564","verkoud"
"Wakker , verkouden","januari 2014","51.87902","4.525547","verkoud"
"En ik zit weer naast de verkouden en vol met bacillen medereiziger #lekkerhoor","januari 2014","52.10384","5.088808","verkoud"
"Ik vind t knap van mezelf. In de zachtste winter ooit snipverkouden worden.","januari 2014","51.73407","4.960921","verkoud"
"Verkouden en hoesten, bahbah","januari 2014","51.71724","5.858097","verkoud"
"Ben echt verkouden","januari 2014","51.34893","5.306467","verkoud"
"Ooops,verkouden.","januari 2014","52.69151","5.244700","verkoud"
"@UtopiaNL zo ze zijn verkouden zit een scheet verkeerd bel de dokter 112 haha wat een zeikers knap dat je die ergenskan vinden de mol","januari 2014","51.57846","4.659584","verkoud"
"“@demivermeule: Echt super verkouden! 😭”","januari 2014","51.50126","3.895827","verkoud"
"Goeie verkouden, feest weer!","januari 2014","51.91825","6.592238","verkoud"
"keelpijn verkouden &amp hoesten.. 😔","januari 2014","52.20392","5.295646","verkoud"
"Ben snot verkouden, bah","januari 2014","53.10520","6.100433","verkoud"
"Vorderingen! 23-3-6:30u! Iedereen slaapt nog. #stil. Blij voor verkouden ZL#zeehond                                      *wat zal ik doen*","januari 2014","52.01157","5.042789","verkoud"
"Aaaaah zo verkouden! #nietnu!! 😭","januari 2014","52.19617","4.420682","verkoud"
"Reve ik weet wat je bedoeld was heel erg verkouden","januari 2014","50.85568","6.061896","verkoud"
"Snertkinderen met hun virussen😡 #verkouden","januari 2014","51.88761","5.426795","verkoud"
"Verkouden, jenke.","januari 2014","53.04224","5.660707","verkoud"
"Jeeej !! Papa mn matras van oma gebracht! Moet zowat mn bed inspringen! En gelijk mn autodeur gemaakt! Ik ben weer happy #verkoudeninmnbedje","januari 2014","52.44471","4.655926","verkoud"
"kanker verkouden en keelpijn pff 😔","januari 2014","52.20394","5.295636","verkoud"
"Koppijn, verkouden &amp moe #ziekigg.","januari 2014","53.25923","6.029958","verkoud"
"Verkouden. (@ Station Hengelo Gezondheidspark w/ @janno97) http://t.co/lNcHZ43QoF","januari 2014","52.26158","6.768115","verkoud"
"Lekkere druk op m''n neus, hofdpijn, oorpijn en keelpijn. Verkouden zijn is zo leuk. Vooral als je weer tot 10 a half 11 moet werken","januari 2014","52.11632","5.128627","verkoud"
"Tuurlijk word ik nu verkouden --''","januari 2014","53.25381","5.903133","verkoud"
"Ik heb zo''n keelpijn en ben zo verkouden Jezus","januari 2014","51.96508","6.309577","verkoud"
"Word k verkouden ? Nee toch he","januari 2014","50.94184","5.794774","verkoud"
"Pff.. kut verkoudheid","januari 2014","52.22359","6.891977","verkoud"
"Vanavond afzwemmen zwemmend redder 4 en ben verkouden :( #reddingsbrigade","januari 2014","51.53683","4.223611","verkoud"
"Zo verkouden :(","januari 2014","51.70170","4.866335","verkoud"
"@NECToday Denk verkoudheidje.","januari 2014","51.76168","5.781750","verkoud"
"Verkouden aant worden en m''n oren zitten ineens dicht #fijn","januari 2014","51.41677","5.557172","verkoud"
"@Spintens Slurp-, verkoudheids-, slik-, kauw-, en andere mondgeluiden. Drives me insane! Maar ook echt dat ik me agressief ga voelen. &gt.&lt","januari 2014","52.36122","6.459529","verkoud"
"Mijn verkouden prins http://t.co/JEDiIk81Or","januari 2014","52.77930","6.690418","verkoud"
"Slapen😴 #koud #koppijn #verkouden #GN","januari 2014","52.20375","4.423830","verkoud"
"@jootjuh60 Ben erg verkouden en imdat ik astma heb zat alles dicht.","januari 2014","52.24132","6.898377","verkoud"
"Ben echt misselijk en verkouden en hoofdpijn pffff","januari 2014","51.91419","4.557355","verkoud"
"Slapen mensjes, verkouden to the max.","januari 2014","51.83225","4.726931","verkoud"
"Verkouden :(","januari 2014","52.05646","4.311748","verkoud"
"Verkouden 😷","januari 2014","52.26292","5.170671","verkoud"
"Fkgg verkouden &amp hoofdpijn, gaat dit verhaal bij vorige week verder? #pleasenietziek","januari 2014","52.02439","5.527877","verkoud"
"Vermist/verloren.....mijn stem 😁☺ #verkouden #vervelend http://t.co/Kl2EPcpVEq","januari 2014","52.01162","4.532129","verkoud"
"Verkouden -_-","januari 2014","51.82103","3.984142","verkoud"
"Zo mogge verkoudheid","januari 2014","52.14732","4.652475","verkoud"
"""@010_NAMEK: Verkouden, Kaak."" Kaak?","januari 2014","50.94389","5.895136","verkoud"
"Verkouden, hierdoor heeft mijn hele lijf spierpijn pff:(. #moe #kapot #verkouden","januari 2014","51.84804","4.334945","verkoud"
"k haat verkouden zyn.. ufft","januari 2014","52.49498","6.290708","verkoud"
"Verkouden 😐","januari 2014","52.64500","4.825407","verkoud"
"Volgens mij word ik verkouden. Keelpijn #bah","januari 2014","53.11298","6.110076","verkoud"
"Tering verkoudheid, val niet meer in slaap! 😔","januari 2014","51.34847","6.161090","verkoud"
"@Youke ik vertrouw op mijn eigen keeldrankje , maar merk wel dat er een verkoudheidje aankomt . Vitamine shot dalijk .","januari 2014","51.42178","5.462409","verkoud"
"@Youke nee voel nu langzaam een verkoudheidje opkomen , last van keel etc . Nog geen last van spieren of verhoging .","januari 2014","51.42191","5.462387","verkoud"
"Keelpijn hoofdpijn verkouden","januari 2014","51.83370","4.684218","verkoud"
"Verkouden","januari 2014","52.35026","6.853168","verkoud"
"snotverkouden bah","januari 2014","52.52370","6.141194","verkoud"
"Word verkouden fso :s","januari 2014","51.69253","5.138301","verkoud"
"Roanne verkouden.... Ze zal toch geen griep krijgen?? Nu koffie, werken en vanavond heeft yuli district kampioenschap in Alkmaar #fijnedag","januari 2014","52.49928","4.748947","verkoud"
"Zo snotverkouden dat mijn groene smoothie zelfs niet smaakt :(","januari 2014","52.51489","6.122209","verkoud"
"Het heeft lang geduurt dit jaar maar volgens mij word ik flink verkouden..","januari 2014","51.37695","6.192308","verkoud"
"Ik ben nog nooit zo erg verkouden geweest","januari 2014","52.25498","5.592189","verkoud"
"Ingepakt in vele lagen kleding &amp snotterverkouden incl. kriebelhoest op weg naar nairobi. En toch was het goed om even in fris NL te zijn.","januari 2014","52.31314","4.761380","verkoud"
"@_hulyaax haha nee ben ka erg verkouden sen?","januari 2014","52.25489","5.592486","verkoud"
"Verkouden als een zeehond","januari 2014","52.43235","4.641559","verkoud"
"Ik loop nog een verkoudheidje op hier in deze ROC","januari 2014","52.35523","6.655872","verkoud"
"Super verkouden blehh.. 😱","januari 2014","51.34850","6.161049","verkoud"
"Wakker nogsteeds harstikke verkouden mehh","januari 2014","53.36776","5.213481","verkoud"
"alweer verkouden was net over begint het weer","januari 2014","53.33584","6.523504","verkoud"
"@Clint_Black do you have snotverkouden","januari 2014","52.34158","6.113623","verkoud"
"Super verkouden, loopt wrts vast, kan er ook nog wel bij","januari 2014","51.54579","4.793195","verkoud"
"Door verkoudheid geen stem. erg frustrerend tijdens afscheidsreceptie #cnv @JaapSmitCdK.","januari 2014","52.08224","4.311425","verkoud"
"En weer thuis, zo beroerd als wat.. kutverkoudheid!","januari 2014","53.11478","5.440551","verkoud"
"Gek verkouden !!","januari 2014","52.49184","4.787318","verkoud"
"Zo ongelofelijk verkouden, voel me vreselijk. 😷","januari 2014","52.52812","4.708745","verkoud"
"Zo pitte, kk verkouden","januari 2014","51.81188","5.728429","verkoud"
"Spierpijn, verkouden, hoofdpijn. Ugh.. nu maar gaan slapen #gn","januari 2014","52.52156","6.593242","verkoud"
"Gvd kan niet slapen door die verkoudheid..","januari 2014","51.26526","5.567814","verkoud"
"RT @MehdiCarcela17: Als ik eenmaal verkouden ben dan ben ik direct ook goed verkouden 😖😩 - Oke","januari 2014","52.96669","5.912249","verkoud"
"word niet goed van dat verkouden zijn","januari 2014","53.33918","6.520536","verkoud"
"Straks op pad met #zakdoeken #paracetamol #verkouden #hoofdpijn","januari 2014","51.55786","3.798344","verkoud"
"alleen die fucking verkoudheid he..","januari 2014","53.33918","6.520536","verkoud"
"Fcking verkouden koppijn en keelpijn","januari 2014","52.99438","6.539868","verkoud"
"Keelpijn, verkouden en slecht geslapen, dit wordt een leuke dag -,-","januari 2014","52.63616","6.211456","verkoud"
"Hoofdpijn eindelijk weg... But the nose keeps running and running #verkouden","januari 2014","51.83798","5.862576","verkoud"
"er gaat een wereld voor me open ik kan weer ruiken #verkouden","januari 2014","52.04789","5.068381","verkoud"
"Ben kapot verkouden ogen onstoken keelpijn pff","januari 2014","52.65134","5.045161","verkoud"
"Yes normaal ben ik altijd rond 07.00 uur wakker, en ben nu net pas wakker :D en lekker verkouden -,-","januari 2014","52.84581","6.958522","verkoud"
"Mmm zat gisteren nog te denken..ben niet meer zo vaak verkouden. .heerlijk! En vanmorgen werd ik wakker door een loopneus.. jeahhh haha","januari 2014","52.23279","5.978144","verkoud"
"verkouden niet normaal","januari 2014","51.58000","4.652628","verkoud"
"Dus de koppijn is weg. Denkje het is over, maar nee hoor. Nu dus keelpijn en die verkoudheid wil ook niet weg #super","januari 2014","51.83882","5.000996","verkoud"
"Jammer morgen niet met de kinderen naar de treinen .Ben nog niet de oude.Maar ze hebben wat anders bedacht.rot verkoudheid.","januari 2014","52.11376","4.287558","verkoud"
"Verkouden als een gek #kutnederland","januari 2014","51.75448","5.493076","verkoud"
"Zo verkouden he , wauw..","januari 2014","50.86536","6.071117","verkoud"
"Niks proeven omdat verkouden --''","januari 2014","51.83430","5.000650","verkoud"
"Zwaar verkouden koud en moe, dus douchen en naar bed toe","januari 2014","53.22486","6.533338","verkoud"
"Niets op tv, prima avond om heerlijk de verkoudheid eruit te zweten #sauna","januari 2014","51.64375","4.752030","verkoud"
"@TamaraBrinkman Ben je niet gewoon verkouden, en heb je stiekem je mojo nog?","januari 2014","52.23717","5.179164","verkoud"
"Ziek verkouden.","januari 2014","52.20217","5.138161","verkoud"
"Kan niet #slapen #hoesten #verkouden #benedenopdebank kijken of het lukt om nog te gaan slapen","januari 2014","51.55785","3.798264","verkoud"
"In slaap proberen te vallen weer, #verkouden","januari 2014","52.08793","4.406058","verkoud"
"Ik ben 3 kwartier wakker en heb nu al 20x geniest ofzo... 0_o #verkouden #hatsjoee","januari 2014","51.91815","4.265409","verkoud"
"Goed verkouden weer","januari 2014","51.74164","5.850686","verkoud"
"Avondje zweten heeft me goed gedaan. Geslapen als n roos en minder verkouden nu. #sauna","januari 2014","51.64370","4.752057","verkoud"
"strontverkouden en ben mn stem kwijt..","januari 2014","52.03193","5.527944","verkoud"
"Weer ben ik verkouden :s","januari 2014","52.37504","4.920910","verkoud"
"Na een enorme verkoudheid nu weer in staat om de sociale media bij te werken! En de admin natuurlijk! Fijne avond ! http://t.co/gTo2fLRTo1","januari 2014","51.88384","4.608025","verkoud"
"konniet &amp&amp fuckin'' verkouden, hebben jullie binnen getraind ? -@DeborahZinga","januari 2014","52.43595","4.838619","verkoud"
"Fucking verkouden :((","januari 2014","52.20005","5.421799","verkoud"
"Ga maar eens een warme douch nemen en me warme bed opzoeken. Steenkoud en tegen een verkoudheid aan. Spreek u morgen weer. Welterusten!","januari 2014","52.37838","4.634051","verkoud"
"Oorpijn hartpijn hoofdpijn buikpijn &amp verkouden ..","januari 2014","51.46141","5.634076","verkoud"
"@erwinvbussel iedereen is verkouden op het moment...","januari 2014","51.91903","4.616848","verkoud"
"Verkouden , 😁🔫","januari 2014","51.82401","4.778261","verkoud"
"Ik voel een verkoudheid aankomen 😷","januari 2014","50.89144","5.965961","verkoud"
"Verkouden","januari 2014","51.64704","4.607144","verkoud"
"Klaar met eten :) jammer dat ik alleen nix proef door me verkoudheid xd","januari 2014","53.04030","5.657730","verkoud"
"Hoest mijn longen uit mijn lijf!!  #verkouden","januari 2014","51.31143","6.120494","verkoud"
"@Koekymonster18 beetje verkouden","januari 2014","51.61097","4.740711","verkoud"
"Oscillococcinum. Wie dat kan zeggen is niet verkouden! 

Zie je vaak bij homeopathische middelen. Ze werken niet, maar helpen wel.","januari 2014","52.96613","5.821484","verkoud"
"oorpijn, keelpijn, hoofdpijn en stront verkouden. yesssss http://t.co/29XSXSgCsb","januari 2014","52.03194","5.527944","verkoud"
"Iemand ervaring met vliegen tijdens een zware verkoudheid met voorhoofdsholte en bijholte ontsteking? ?","januari 2014","53.25494","5.771184","verkoud"
"Ik ben zo verkouden.. Dat is gewoon niet gezond meer . 😵😑😳","januari 2014","51.89376","4.630470","verkoud"
"Kut verkoud heid !! ..,.,,","januari 2014","52.95288","4.754072","verkoud"
"Hoera ik ben verkouden 🙌","januari 2014","52.19012","5.379747","verkoud"
"verkouden alless mehh","januari 2014","52.31636","6.928662","verkoud"
"Al een week last van een hardnekkige verkoudheid. Ben er niet fit onder.....ik hoest me de @#$#@$&amp.....weg ermee....ik wil hardlopen.....","januari 2014","52.95316","5.915881","verkoud"
"Wordt wel moeilijkk lopen maarja -___- #verkouden","januari 2014","52.00248","4.350584","verkoud"
"En ben dus ook verkouden","januari 2014","52.00250","4.350555","verkoud"
"Goodmorning , verkouden as fuck.","januari 2014","51.88635","4.855167","verkoud"
"Zooo verkouden","januari 2014","53.06306","6.574658","verkoud"
"Verkouden als de tyfus. Niet normaal","januari 2014","52.19892","6.006280","verkoud"
"Verkouden...","januari 2014","52.19713","5.371510","verkoud"
"Verkouden -.-","januari 2014","52.39493","6.285486","verkoud"
"Wat komt verkoudheid altijd toch zo goed uit.","januari 2014","52.22352","5.175135","verkoud"
"Fckn verkouden. Hate thisss","januari 2014","52.03352","5.544612","verkoud"
"verkouden","januari 2014","52.23363","6.113047","verkoud"
"Verkouden en zo beroerd. Vanmiddag werken van 3 tot 6.","januari 2014","53.17207","6.201589","verkoud"
"Ik ben echt verkouden, hahaha en me stem is zo grappig !","januari 2014","51.89399","4.630410","verkoud"
"Ik word ziek man pfff hoofdpijn me keel zit dicht verkouden geweldig dit","januari 2014","52.19627","6.905978","verkoud"
"Ik ben verkouden.. Great.","januari 2014","52.25525","5.260364","verkoud"
"Voel me nog steeds brak en braak door een flinke verkoudheid. Uiteraard weer in het weekend als je denkt iets leuks te gaan doen. Bah.","januari 2014","51.25070","5.907542","verkoud"
"Het zou nu overigens fijn zijn als mijn verkoudheid verdwijnt. Ik klink al een week -áls ik een stem heb- als een doorrookte corpssnol.","januari 2014","52.37785","4.932276","verkoud"
"Vanaaf vroeg slapen #verkouden #hoofdpijn","januari 2014","52.19711","5.371472","verkoud"
"Wauw wat voel ik me ellendig. Supersupermoe en verkouden en koud. Nog niet in Groningen :(","januari 2014","52.50155","6.110647","verkoud"
"Verkoude #koppien","januari 2014","51.69090","5.865192","verkoud"
"Ben zo erg verkouden he , krijg geen eens lucht gvd 😭","januari 2014","50.86517","6.071113","verkoud"
"Begin beetje verkouden te worden..","januari 2014","52.48821","6.113966","verkoud"
"""@littleXio: Verkouden zijn is echt niks voor my""","januari 2014","52.04374","4.257559","verkoud"
"Kwartier in sneeuw gestaan, nu verkouden en hoofdpijn -.- #geenslimidee","januari 2014","52.92458","6.776663","verkoud"
"Verkouden ..😔","januari 2014","51.68575","5.140948","verkoud"
"Verkouden en rug pijn, nu lekker gaan slapen, dood moe, ik hou van mn lieve vriendje @Ricksonnema ♥️","januari 2014","51.68584","5.141113","verkoud"
"Wie heeft mij nou weer zo verkouden gemaakt?! Hm?! Wat een timing ook..","januari 2014","52.22345","5.175139","verkoud"
"Verkouden :(","januari 2014","51.93482","5.601152","verkoud"
"Goede morgen,, ben goed verkouden.De hele nacht liggen blaffen. Wat gedronken en gesmeerd....Amsterdam gaat niet door zo.","januari 2014","51.91926","4.414261","verkoud"
"Ja leuk verkouden keelpijn en hoofdpijn ... Alleen maar thee drinken dan","januari 2014","52.19630","6.905985","verkoud"
"Bah. Lekker verkouden geworden vannacht. Gelukkig staat er vandaag een ochtend schaatsen en een middag sauna op het programma.","januari 2014","52.78472","6.893536","verkoud"
